obscd_wl,korObs_wl,region_wl,lat_wl,lon_wl,stn_id_aws,stn_ko_aws,lat_aws,lon_aws,addr_aws,distance_km
1002615,평창군(진전교),한강,37.586111,128.391389,660,면온,37.56197,128.37762,강원특별자치도 평창군 봉평면 면온리,2.95
1002625,평창군(선애교),한강,37.474444,128.41,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,8.36
1002626,평창군(바이오교),한강,37.529167,128.451389,597,대화,37.54548,128.44108,강원특별자치도 평창군 대화면 신리,2.03
1002630,대화,한강,37.450833,128.420833,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,8.48
1002635,평창군(사초교),한강,37.455278,128.439722,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,9.52
1002636,평창군(하방림교),한강,37.430833,128.373611,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,6.22
1002640,평창군(상방림교),한강,37.431389,128.417222,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,6.32
1002650,평창군(평창교),한강,37.367778,128.406111,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,1.48
1002655,영월군(판운교),한강,37.296667,128.343889,526,평창,37.37748,128.39469,강원특별자치도 평창군 평창읍 여만리,10.05
1002670,횡성군(둔방내리),한강,37.514722,128.215556,583,안흥,37.46463,128.1551,강원특별자치도 횡성군 안흥면 소사리,7.71
1002675,횡성군(안흥교),한강,37.412222,128.155,583,안흥,37.46463,128.1551,강원특별자치도 횡성군 안흥면 소사리,5.83
1002680,영월군(두학교),한강,37.296389,128.1925,582,신림,37.23146,128.07993,강원특별자치도 원주시 신림면 신림리,12.3
1002685,영월군(주천교),한강,37.2675,128.265833,221,제천,37.15928,128.19433,충청북도 제천시 신월동,13.6
1002687,영월군(신천교),한강,37.229722,128.331667,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,12.37
1002690,후포,한강,37.216667,128.316667,221,제천,37.15928,128.19433,충청북도 제천시 신월동,12.58
1002691,영월군(화병교),한강,37.215278,128.374722,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,8.24
1002693,영월군(농공단지교),한강,37.224444,128.4225,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,5.71
1002694,영월군(연당교),한강,37.196667,128.4025,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,5.16
1002695,영월군(북쌍리),한강,37.194167,128.409167,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,4.51
1002698,영월군(팔괴교),한강,37.171944,128.455278,121,영월,37.18126,128.45743,강원특별자치도 영월군 영월읍 하송리,1.05
1003601,영월군(주채교),한강,37.120556,128.784167,581,상동,37.11663,128.77441,강원특별자치도 영월군 상동읍 내덕리,0.97
1003603,영월군(내리2교),한강,37.106944,128.675278,581,상동,37.11663,128.77441,강원특별자치도 영월군 상동읍 내덕리,8.86
1003605,영월군(충혼교),한강,37.142222,128.680833,527,신동,37.21108,128.64126,강원특별자치도 정선군 신동읍 예미리,8.42
1003620,영월군(옥동교),한강,37.122222,128.564167,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,7.97
1003625,영월군(각동교),한강,37.120556,128.540278,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,6.31
1003626,단양군(들골교),한강,37.032778,128.296389,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,5.64
1003630,단양군(오사리),한강,37.098611,128.510833,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,2.77
1003632,단양군(북벽교),한강,37.085556,128.485278,638,영춘,37.07778,128.49361,충청북도 단양군 영춘면 하리,1.14
1003635,가대교,한강,37.036111,128.408056,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,6.62
1003636,단양군(가대교),한강,37.040278,128.405556,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,6.72
1003640,단양2,한강,37.016667,128.383333,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,3.62
1003642,단양군(덕천교),한강,37.005556,128.389167,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,3.78
1003643,단양군(음지교),한강,36.905833,128.380278,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,11.1
1003644,상진교,한강,36.977778,128.3475,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,2.7
1003645,단양군(단양1교),한강,36.931111,128.335556,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,7.95
1003646,우화교,한강,36.930556,128.321111,601,단양,37.00204,128.34687,충청북도 단양군 단양읍 도담리,8.27
1003650,단양1,한강,36.916667,128.283333,621,수산,36.97325,128.21421,충청북도 제천시 수산면 하천리,8.79
1003652,제천시(덕동교),한강,37.188333,127.9925,325,백운,37.14449,128.02526,충청북도 제천시 백운면 평동리,5.67
1003654,제천시(송계교),한강,36.882222,128.078333,324,송계,36.91019,128.07446,충청북도 제천시 한수면 탄지리,3.13
1003655,제천시(물태리),한강,36.993889,128.165833,621,수산,36.97325,128.21421,충청북도 제천시 수산면 하천리,4.87
1003657,제천시(강저3교),한강,37.122778,128.203889,221,제천,37.15928,128.19433,충청북도 제천시 신월동,4.15
1003658,제천시(부수동교),한강,37.148611,128.008889,325,백운,37.14449,128.02526,충청북도 제천시 백운면 평동리,1.52
1003660,제천시(팔송교),한강,37.147222,128.119722,221,제천,37.15928,128.19433,충청북도 제천시 신월동,6.75
1003661,제천시(구곡교),한강,37.112222,128.106111,325,백운,37.14449,128.02526,충청북도 제천시 백운면 평동리,8.02
1003662,명서교,한강,37.067778,128.0325,325,백운,37.14449,128.02526,충청북도 제천시 백운면 평동리,8.55
1003664,충주본댐우안,한강,37.003611,127.996389,127,충주,36.97045,127.9525,충청북도 충주시 안림동,5.37
1003665,충주시(충주댐방수로),한강,37.008056,127.988889,127,충주,36.97045,127.9525,충청북도 충주시 안림동,5.29
1003666,충주시(충주댐),한강,37.005556,127.991944,127,충주,36.97045,127.9525,충청북도 충주시 안림동,5.25
1003667,제천시(용암교),한강,36.928056,128.14,639,덕산,36.90433,128.14564,충청북도 제천시 덕산면 도전리,2.69
1003668,월악,한강,36.911389,128.072778,324,송계,36.91019,128.07446,충청북도 제천시 한수면 탄지리,0.2
1003670,충주2,한강,37.0,127.966667,127,충주,36.97045,127.9525,충청북도 충주시 안림동,3.52
1003680,충주1,한강,37.0,127.916667,127,충주,36.97045,127.9525,충청북도 충주시 안림동,4.57
1004616,청주시(청석굴교),한강,36.611944,127.681667,624,상당,36.62436,127.6571,충청북도 청주시상당구 미원면 미원리,2.59
1004620,청주시(옥화1교),한강,36.615278,127.701667,624,상당,36.62436,127.6571,충청북도 청주시상당구 미원면 미원리,4.1
1004630,고성교,한강,36.666111,127.763333,640,청천,36.67111,127.86527,충청북도 괴산군 청천면 송면리,9.11
1004631,괴산군(월문교),한강,36.694167,127.745278,640,청천,36.67111,127.86527,충청북도 괴산군 청천면 송면리,11.0
1004635,후영교,한강,36.701389,127.814444,640,청천,36.67111,127.86527,충청북도 괴산군 청천면 송면리,5.65
1004640,괴산군(적석교),한강,36.763889,127.980278,622,수안보,36.83909,128.00791,충청북도 충주시 수안보면 안보리,8.72
1004643,괴산댐,한강,36.758889,127.842778,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,8.61
1004645,괴산군(수전교),한강,36.767222,127.8425,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,7.94
1004646,괴산군(비도교),한강,36.79,127.878056,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,9.41
1004653,소수,한강,36.869722,127.718889,619,음성,36.92297,127.70241,충청북도 음성군 음성읍 평곡리,6.1
1004661,괴산군(제2괴산교),한강,36.809167,127.798611,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,2.03
1004670,괴산군(추산교),한강,36.893611,127.814167,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,9.21
1004680,충주시(문강교),한강,36.887778,127.946111,622,수안보,36.83909,128.00791,충청북도 충주시 수안보면 안보리,7.72
1004685,팔봉교,한강,36.899167,127.921389,127,충주,36.97045,127.9525,충청북도 충주시 안림동,8.39
1004688,원남,한강,36.855,127.710556,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,7.37
1004690,충주시(향산리),한강,36.925,127.924444,127,충주,36.97045,127.9525,충청북도 충주시 안림동,5.64
1004692,용당,한강,37.006111,127.705,619,음성,36.92297,127.70241,충청북도 음성군 음성읍 평곡리,9.25
1004693,괴산군(목도교),한강,36.87,127.855278,603,괴산,36.81612,127.77758,충청북도 괴산군 괴산읍 서부리,9.15
1004694,충주시(주덕교),한강,36.983333,127.793889,630,노은,37.04566,127.79968,충청북도 충주시 노은면 수룡리,6.95
1004695,충주시(국원대교),한강,36.966111,127.871667,127,충주,36.97045,127.9525,충청북도 충주시 안림동,7.2
1004696,충주시(봉계교),한강,36.976944,127.920278,127,충주,36.97045,127.9525,충청북도 충주시 안림동,2.95
1005605,충주시(탄금교),한강,36.988611,127.89,127,충주,36.97045,127.9525,충청북도 충주시 안림동,5.91
1005620,충주시(충주조정지댐방수로),한강,37.046111,127.865833,620,엄정,37.07371,127.90353,충청북도 충주시 엄정면 율능리,4.54
1005635,충주시(충주조정지댐),한강,37.044444,127.866389,620,엄정,37.07371,127.90353,충청북도 충주시 엄정면 율능리,4.63
1005640,충주시(목계교),한강,37.076111,127.881111,620,엄정,37.07371,127.90353,충청북도 충주시 엄정면 율능리,2.01
1005650,충주시(능암교),한강,37.091111,127.801389,630,노은,37.04566,127.79968,충청북도 충주시 노은면 수룡리,5.06
1005660,충주시(세포교),한강,37.148333,127.819167,347,귀래,37.22755,127.85685,강원특별자치도 원주시 귀래면 귀래리,9.42
1005695,원주시(법천교),한강,37.204444,127.754167,592,부론,37.23162,127.74866,강원특별자치도 원주시 부론면 흥호리,3.06
1005697,원주시(남한강대교),한강,37.206111,127.747778,592,부론,37.23162,127.74866,강원특별자치도 원주시 부론면 흥호리,2.84
1006610,횡성군(율동리),한강,37.556944,128.108611,561,청일,37.58219,128.15275,강원특별자치도 횡성군 청일면 유동리,4.8
1006612,횡성군(포동2교),한강,37.5525,128.098611,561,청일,37.58219,128.15275,강원특별자치도 횡성군 청일면 유동리,5.8
1006615,횡성군(횡성댐),한강,37.545278,128.030278,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,8.2
1006628,횡성군(청곡교),한강,37.5575,127.977222,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,7.78
1006630,횡성군(오산교),한강,37.520833,127.991389,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,4.06
1006650,횡성군(횡성교),한강,37.495,127.980556,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,1.09
1006660,횡성군(전천교),한강,37.482222,127.981389,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,0.99
1006664,원주시(동부교),한강,37.318611,127.97,114,원주,37.33749,127.94659,강원특별자치도 원주시 명륜동,2.95
1006665,원주시(원주교),한강,37.347778,127.955556,114,원주,37.33749,127.94659,강원특별자치도 원주시 명륜동,1.39
1006666,원주시(가현교),한강,37.394722,127.935556,114,원주,37.33749,127.94659,강원특별자치도 원주시 명륜동,6.44
1006667,섬강교,한강,37.424722,127.963611,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,7.03
1006670,원주시(옥산교),한강,37.428611,127.921667,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,7.94
1006672,원주시(장현교),한강,37.420278,127.898056,536,횡성,37.4876,127.97242,강원특별자치도 횡성군 횡성읍 읍하리,9.96
1006676,원주시(원주천댐좌측),한강,37.296111,127.973333,114,원주,37.33749,127.94659,강원특별자치도 원주시 명륜동,5.17
1006677,원주시(판대2교),한강,37.384167,127.788889,547,양동,37.41593,127.75488,경기도 양평군 양동면 쌍학리,4.64
1006680,원주시(지정대교),한강,37.361667,127.831667,877,문막,37.31339,127.80486,강원특별자치도 원주시 문막읍 취병리,5.87
1006685,원주시(봉미교),한강,37.335,127.894722,114,원주,37.33749,127.94659,강원특별자치도 원주시 명륜동,4.59
1006690,원주시(문막교),한강,37.305,127.810278,877,문막,37.31339,127.80486,강원특별자치도 원주시 문막읍 취병리,1.05
1006693,궁촌,한강,37.226667,127.858056,347,귀래,37.22755,127.85685,강원특별자치도 원주시 귀래면 귀래리,0.15
1006694,반계,한강,37.291667,127.777222,877,문막,37.31339,127.80486,강원특별자치도 원주시 문막읍 취병리,3.44
1007604,안성시(한평교),한강,37.106389,127.433611,469,일죽,37.14071,127.43375,141 경기도 안성시 일죽면 방초리,3.82
1007605,이천시(장호원교),한강,37.113611,127.634722,534,장호원,37.121,127.61058,경기도 이천시 장호원읍 진암리,2.29
1007606,안성시(두현교),한강,37.071389,127.414167,576,백암,37.12966,127.36632,경기도 용인시 처인구 백암면 용천리,7.75
1007608,이천시(고당교),한강,37.096944,127.539722,534,장호원,37.121,127.61058,경기도 이천시 장호원읍 진암리,6.83
1007609,음성군(병암교),한강,37.032222,127.604722,600,금왕,36.97369,127.58973,충청북도 음성군 금왕읍 용계리,6.64
1007610,음성군(총천교),한강,37.070833,127.604444,534,장호원,37.121,127.61058,경기도 이천시 장호원읍 진암리,5.6
1007613,음성군(상우교),한강,37.122222,127.659444,534,장호원,37.121,127.61058,경기도 이천시 장호원읍 진암리,4.33
1007615,여주시(원부교),한강,37.162222,127.634444,534,장호원,37.121,127.61058,경기도 이천시 장호원읍 진암리,5.05
1007617,여주시(삼합교),한강,37.202222,127.719167,592,부론,37.23162,127.74866,강원특별자치도 원주시 부론면 흥호리,4.18
1007620,여주시(강천리),한강,37.231111,127.713889,592,부론,37.23162,127.74866,강원특별자치도 원주시 부론면 흥호리,3.08
1007625,여주시(남한강교),한강,37.254444,127.681111,548,여주,37.26883,127.63956,경기도 여주시 점봉동,4.01
1007626,여주시(용은교),한강,37.275833,127.551111,203,이천,37.26399,127.48421,경기도 이천시 부발읍 신하리,6.06
1007630,남한강,한강,37.183056,127.686667,464,점동,37.20611,127.66273,경기도 여주시 점동면 청안리,3.33
1007633,강천보(상류),한강,37.273056,127.683333,548,여주,37.26883,127.63956,경기도 여주시 점봉동,3.9
1007634,강천보(하류),한강,37.283889,127.684722,548,여주,37.26883,127.63956,경기도 여주시 점봉동,4.33
1007635,여주시(여주대교),한강,37.296389,127.647778,548,여주,37.26883,127.63956,경기도 여주시 점봉동,3.15
1007637,여주시(당우교),한강,37.327222,127.682778,447,북내,37.32904,127.67911,경기도 여주시 북내면 당우리,0.38
1007639,여주보(상류),한강,37.326111,127.615556,574,대신,37.3694,127.58711,경기도 여주시 대신면 초현리,5.43
1007640,여주시(율극교),한강,37.333889,127.573333,463,흥천,37.33268,127.54146,141 경기도 여주시 흥천면,2.82
1007641,여주보(하류),한강,37.328611,127.603333,574,대신,37.3694,127.58711,경기도 여주시 대신면 초현리,4.76
1007642,이천시(동산교),한강,37.216667,127.416111,461,마장,37.24896,127.35799,경기도 이천시 마장면 오천리,6.27
1007645,이천시(복하교),한강,37.266944,127.460833,203,이천,37.26399,127.48421,경기도 이천시 부발읍 신하리,2.09
1007649,흑천,한강,37.464167,127.543056,202,양평,37.48863,127.49446,경기도 양평군 양평읍 양근리,5.08
1007650,여주시(흥천대교),한강,37.333056,127.535278,463,흥천,37.33268,127.54146,141 경기도 여주시 흥천면,0.55
1007653,대평,한강,37.4225,127.629722,574,대신,37.3694,127.58711,경기도 여주시 대신면 초현리,7.0
1007655,여주시(양촌교),한강,37.3825,127.562778,574,대신,37.3694,127.58711,경기도 여주시 대신면 초현리,2.6
1007656,여주저류지,한강,37.381111,127.549722,466,금사,37.39255,127.53332,141 경기도 여주시 금사면 이포리,1.93
1007660,여주시(이포대교),한강,37.401111,127.5375,466,금사,37.39255,127.53332,141 경기도 여주시 금사면 이포리,1.02
1007662,이포보(상류),한강,37.401111,127.537778,466,금사,37.39255,127.53332,141 경기도 여주시 금사면 이포리,1.03
1007664,이포보(하류),한강,37.408333,127.541389,466,금사,37.39255,127.53332,141 경기도 여주시 금사면 이포리,1.89
1007672,금사,한강,37.388611,127.488889,466,금사,37.39255,127.53332,141 경기도 여주시 금사면 이포리,3.95
1007680,양평군(흑천교),한강,37.466111,127.5275,202,양평,37.48863,127.49446,경기도 양평군 양평읍 양근리,3.84
1007685,양평군(양평교),한강,37.486389,127.49,202,양평,37.48863,127.49446,경기도 양평군 양평읍 양근리,0.47
1007687,양평군(여물교),한강,37.555,127.708056,573,청운,37.55821,127.71352,경기도 양평군 청운면 용두리,0.6
1007688,양평군(보룡교),한강,37.536667,127.675556,573,청운,37.55821,127.71352,경기도 양평군 청운면 용두리,4.12
1007690,양평군(봉상교),한강,37.511667,127.651389,326,용문산,37.54553,127.61126,경기도 양평군 용문면 중원리,5.17
1007695,양평군(다문교),한강,37.480278,127.588333,326,용문산,37.54553,127.61126,경기도 양평군 용문면 중원리,7.53
1007697,양평군(신원리),한강,37.525,127.371389,449,옥천,37.51002,127.44809,경기도 양평군 옥천면 옥천리,6.97
1009650,화천군(평화의댐),한강,38.210278,127.844444,680,평화,38.21277,127.84468,강원특별자치도 화천군 화천읍 동촌리,0.28
1009652,화천군(평화나래교),한강,38.208056,127.849444,680,평화,38.21277,127.84468,강원특별자치도 화천군 화천읍 동촌리,0.67
1010630,약수교,한강,38.1675,128.043056,556,양구,38.09799,127.98527,강원특별자치도 양구군 양구읍 정림리,9.23
1010631,양구군(양지교),한강,38.135,128.045278,556,양구,38.09799,127.98527,강원특별자치도 양구군 양구읍 정림리,6.67
1010633,양구군(송청제2교),한강,38.088611,127.996944,556,양구,38.09799,127.98527,강원특별자치도 양구군 양구읍 정림리,1.46
1010635,하리교,한강,38.107778,127.984167,556,양구,38.09799,127.98527,강원특별자치도 양구군 양구읍 정림리,1.09
1010640,양구군(각시교),한강,38.190278,127.925556,587,방산,38.22642,127.95329,강원특별자치도 양구군 방산면 송현리,4.69
1010642,남전교,한강,38.183056,127.901389,680,평화,38.21277,127.84468,강원특별자치도 화천군 화천읍 동촌리,5.96
1010660,화천군(화천댐),한강,38.1175,127.777222,681,간동,38.0512,127.79064,강원특별자치도 화천군 간동면 유촌리,7.47
1010661,화천댐,한강,38.116667,127.783333,681,간동,38.0512,127.79064,강원특별자치도 화천군 간동면 유촌리,7.31
1010670,화천군(오작교),한강,38.285,127.811944,682,임남,38.2806,127.8647,강원특별자치도 철원군 임남면,4.63
1010673,화천군(신대교),한강,38.133611,127.676389,555,화천,38.08371,127.69062,강원특별자치도 화천군 하남면 거례리,5.69
1010674,화천군(신읍교),한강,38.119444,127.697222,555,화천,38.08371,127.69062,강원특별자치도 화천군 하남면 거례리,4.02
1010675,화천,한강,38.1,127.716667,555,화천,38.08371,127.69062,강원특별자치도 화천군 하남면 거례리,2.91
1010677,용신교,한강,38.108889,127.704444,555,화천,38.08371,127.69062,강원특별자치도 화천군 하남면 거례리,3.05
1010680,화천군(화천대교),한강,38.098333,127.708056,555,화천,38.08371,127.69062,강원특별자치도 화천군 하남면 거례리,2.23
1010684,오탄교,한강,38.108889,127.636944,555,화천,38.08371,127.69062,강원특별자치도 화천군 하남면 거례리,5.47
1010686,화천군(일광교),한강,38.060833,127.526389,519,사내,38.07545,127.51941,강원특별자치도 화천군 사내면 사창리,1.74
1010688,춘천댐,한강,37.966667,127.670833,93,북춘천,37.94738,127.75443,강원특별자치도 춘천시 신북읍 산천리,7.64
1010690,춘천시(춘천댐),한강,37.968611,127.668333,93,북춘천,37.94738,127.75443,강원특별자치도 춘천시 신북읍 산천리,7.91
1010695,춘천시(춘천댐하류),한강,37.959444,127.675833,93,북춘천,37.94738,127.75443,강원특별자치도 춘천시 신북읍 산천리,7.02
1011620,인제군(반월촌교),한강,38.264444,128.203611,594,서화,38.2533,128.21,(산지)강원특별자치도 인제군 서화면 서화리,1.36
1011640,인제군(십이선녀교),한강,38.183889,128.301111,595,진부령,38.26414,128.37415,(산지)강원특별자치도 고성군 간성읍 흘리,10.97
1011650,인제군(어두원교),한강,38.135556,128.233333,321,원통,38.1147,128.1963,(산지)강원특별자치도 인제군 북면 원통리,3.98
1011690,인제군(원통리),한강,38.120833,128.209444,321,원통,38.1147,128.1963,(산지)강원특별자치도 인제군 북면 원통리,1.34
1011693,인제군(도리촌교),한강,38.0975,128.206944,321,원통,38.1147,128.1963,(산지)강원특별자치도 인제군 북면 원통리,2.13
1011695,인제군(리빙스턴교),한강,38.088333,128.183333,321,원통,38.1147,128.1963,(산지)강원특별자치도 인제군 북면 원통리,3.14
1012625,홍천군(가덕교),한강,37.834167,128.408056,559,내면,37.77805,128.39728,(산지)강원특별자치도 홍천군 내면 창촌리,6.31
1012630,인제군(왕성동교),한강,37.871944,128.322778,557,기린,37.9537,128.31388,(산지)강원특별자치도 인제군 기린면 현리,9.12
1012635,인제군(양지교),한강,37.876667,128.288333,557,기린,37.9537,128.31388,(산지)강원특별자치도 인제군 기린면 현리,8.85
1012638,인제군(진동2교),한강,37.963056,128.403333,557,기린,37.9537,128.31388,(산지)강원특별자치도 인제군 기린면 현리,7.91
1012639,인제군(서호교),한강,37.943056,128.312778,557,기린,37.9537,128.31388,(산지)강원특별자치도 인제군 기린면 현리,1.19
1012640,인제군(현리교),한강,37.948056,128.317222,557,기린,37.9537,128.31388,(산지)강원특별자치도 인제군 기린면 현리,0.69
1012645,인제군(하죽천교),한강,37.976944,128.308056,557,기린,37.9537,128.31388,(산지)강원특별자치도 인제군 기린면 현리,2.63
1012650,인제군(원대교),한강,38.008056,128.240833,211,인제,38.05986,128.16714,강원특별자치도 인제군 인제읍 남북리,8.65
1012657,인제군(살구미교),한강,38.055278,128.168333,211,인제,38.05986,128.16714,강원특별자치도 인제군 인제읍 남북리,0.52
1012660,인제1,한강,38.016667,128.133333,211,인제,38.05986,128.16714,강원특별자치도 인제군 인제읍 남북리,5.64
1012665,인제2,한강,38.033333,128.15,211,인제,38.05986,128.16714,강원특별자치도 인제군 인제읍 남북리,3.31
1012670,인제군(양구교),한강,37.993889,128.056667,585,신남,37.95996,128.0742,강원특별자치도 인제군 남면 신풍리,4.07
1012680,춘천시(소양강댐),한강,37.949167,127.815278,978,춘천신북,37.95461,127.77626,강원특별자치도 춘천시 신북읍 유포리,3.47
1012682,춘천시(소양강댐방수로),한강,37.944167,127.810833,978,춘천신북,37.95461,127.77626,강원특별자치도 춘천시 신북읍 유포리,3.25
1012685,춘천시(천전리),한강,37.930278,127.789722,978,춘천신북,37.95461,127.77626,강원특별자치도 춘천시 신북읍 유포리,2.95
1012688,춘천시(소양6교),한강,37.925833,127.778889,978,춘천신북,37.95461,127.77626,강원특별자치도 춘천시 신북읍 유포리,3.21
1012690,소양강,한강,37.917778,127.784167,978,춘천신북,37.95461,127.77626,강원특별자치도 춘천시 신북읍 유포리,4.15
1012695,춘천2,한강,37.890278,127.724722,101,춘천,37.90262,127.7357,강원특별자치도 춘천시 우두동,1.68
1013610,춘천시(효자교),한강,37.8675,127.7275,101,춘천,37.90262,127.7357,강원특별자치도 춘천시 우두동,3.97
