sphereLarge,korStream_x,obscd_upstream,korObs_upstream,obscd_downstream,korObs_downstream,mean_lag_h,median_lag_h,std_lag_h,mean_cc_peak,mean_dtw_dist,median_dtw_dist,n_events
한강,어천,1001645,정선군(와평교),1001649,정선군(애산교),0.2,0.0,0.45,13.7467,0.315,0.1886,5
한강,어천,1001641,정선군(각희교),1001645,정선군(와평교),12.0,12.0,0.0,12.4171,2.3577,2.3577,1
한강,여주보,1007635,여주시(여주대교),1007639,여주보(상류),58.4,107.0,67.13,4.1917,2.6368,3.8665,5
한강,영월,1001670,영월군(거운교),1001690,영월군(영월대교),3.0,5.0,2.74,13.8528,0.5382,0.5537,5
한강,오대천,1001602,평창군(송정교),1001630,정선군(나전교),0.0,0.0,0.0,8.655,0.3381,0.2765,5
한강,옥동천,1003605,영월군(충혼교),1003620,영월군(옥동교),0.0,0.0,0.0,8.7238,0.439,0.4042,4
한강,요도천,1004694,충주시(주덕교),1004695,충주시(국원대교),-1.0,-1.0,0.0,4.5297,0.4979,0.4979,1
한강,운계천,1005650,충주시(능암교),1005660,충주시(세포교),0.0,0.0,0.0,9.3701,1.1421,1.1421,1
한강,원서천,1003652,제천시(덕동교),1003658,제천시(부수동교),7.0,7.0,0.0,16.9907,0.5017,0.5017,1
한강,원주천,1006650,횡성군(횡성교),1006666,원주시(가현교),-0.4,-1.0,0.89,4.6526,1.7094,1.9456,5
한강,원주천,1006666,원주시(가현교),1006670,원주시(옥산교),0.4,1.0,0.89,4.609,1.0592,1.0661,5
한강,원주천,1006665,원주시(원주교),1006650,횡성군(횡성교),7.2,-2.0,20.57,3.9757,2.7847,1.956,5
한강,정선,1001655,정선군(정선제1교),1001658,정선군(광하교),-0.2,0.0,0.45,10.602,0.2896,0.2229,5
한강,제천천,1003660,제천시(팔송교),1003661,제천시(구곡교),0.0,0.0,0.0,9.4897,0.6233,0.545,5
한강,주천강,1002680,영월군(두학교),1002685,영월군(주천교),-8.2,-23.0,22.55,9.6724,0.5873,0.6338,5
한강,주천강,1002670,횡성군(둔방내리),1002675,횡성군(안흥교),-2.0,-2.0,0.0,9.4827,0.4614,0.4614,1
한강,주천강,1002685,영월군(주천교),1002687,영월군(신천교),0.0,0.0,0.71,10.7857,0.3091,0.2341,5
한강,주천강,1002675,횡성군(안흥교),1002680,영월군(두학교),0.2,0.0,0.45,9.8664,0.5345,0.3902,5
한강,지장천,1001650,정선군(삼거리교),1001660,정선군(낙동교),-3.0,-3.0,0.0,4.8373,2.4338,2.4338,1
한강,청미천,1007604,안성시(한평교),1007608,이천시(고당교),14.0,14.0,0.0,4.9793,1.1051,1.1051,1
한강,평창강,1002650,평창군(평창교),1002698,영월군(팔괴교),-17.5,-23.0,11.0,8.9938,0.8214,0.8792,4
한강,평창강,1002650,평창군(평창교),1002691,영월군(화병교),-2.0,-2.0,0.0,8.6854,1.028,1.028,1
한강,평창강,1002691,영월군(화병교),1002698,영월군(팔괴교),1.0,1.0,0.0,9.747,0.1162,0.1162,1
한강,평창강,1002625,평창군(선애교),1002650,평창군(평창교),1.4,2.0,0.89,8.1826,0.5438,0.4516,5
한강,흑천,1007680,양평군(흑천교),1007664,이포보(하류),-15.6,-25.0,12.88,7.615,1.4512,0.9659,5
한강,흑천,1007687,양평군(여물교),1007690,양평군(봉상교),0.0,0.0,0.0,6.9808,0.3892,0.3892,1
한강,흑천,1007690,양평군(봉상교),1007680,양평군(흑천교),0.4,1.0,0.89,11.4369,0.3882,0.298,5
한강,흥정천,1002605,평창군(이목정교),1002610,평창군(장평교),-0.2,0.0,0.45,9.2823,0.488,0.5273,5
한강,흥정천,1002610,평창군(장평교),1002615,평창군(진전교),0.2,0.0,0.45,8.9276,0.5281,0.6551,5
